Age,Attrition,BusinessTravel,DailyRate,Department,DistanceFromHome,Education,EducationField,EmployeeCount,EmployeeNumber,EnvironmentSatisfaction,Gender,HourlyRate,JobInvolvement,JobLevel,JobRole,JobSatisfaction,MaritalStatus,MonthlyIncome,MonthlyRate,NumCompaniesWorked,Over18,OverTime,PercentSalaryHike,PerformanceRating,RelationshipSatisfaction,StandardHours,StockOptionLevel,TotalWorkingYears,TrainingTimesLastYear,WorkLifeBalance,YearsAtCompany,YearsInCurrentRole,YearsSinceLastPromotion,YearsWithCurrManager
30,No,Non-Travel,641,Sales,25.0,2,Technical Degree,1,475,4,Female,85,3,2,Sales Executive,3,Married,4736.0,6069,7,Y,20220335,12,3,-45.59891671841715,80.0,1,4.0,2,4,2,2,$2,1O0
26,No,Travel_Rarely,933,Sales,1.0,3,Life Sciences,1,476,3,,57,3,2,na,3,NULL,5296.0,20156,1,Y,No,17,3,2.0,80.0,1,8.0,3,3,8,7,,7
42,,NULL,1332,Research & Development,2.0,4,Other,1,477,1,Male,98,2,2,Healthcare Representative,4,,6781.0,17078,3,Y,No,23,4,2.0,80.0,0,14.0,6,3,1,0,0.0,0
21,Yes,Travel_Frequently,756,Sales,1.0,1,Technical Degree,1,478,1,Female,99,2,1,Sales Representative,2,Single,2174.0,9150,1,N.A.,31/02/2022,11,3,3.0,80.0,0,3.0,3,3,3,2,"3,14",2
36,No,Non-Travel,845,Sales,1.0,5,None,1,479,4,Female,45,3,2,Sales Executive,4,Ninguno,6653.0,15276,4,Y,No,207.46238245834547,3,2.0,80.0,0,7.0,,3,1,0,0.0,0
36,No,Ninguno,541,,3.0,4,Medical,1,481,1,Male,48,2,3,Sales Executive,4,Married,9699.0,7246,4,Y,No,NaN,3,1.0,80.0,1,16.0,2,3,13,9,1.0,12
57,,Travel_Rarely,593,Research & Development,,4,Medical,1,482,4,Male,88,3,2,Healthcare Representative,3,Married,6755.0,2967,2,Y,No,11,3,3.0,80.0,0,15.0,2,3,3,2,1.0,2
40,No,Travel_Rarely,1171,Research & Development,10.0,4,Life Sciences,1,483,4,Female,46,4,1,,3,Married,2213.0,22495,3,Y,Yes,13,3,3.0,80.0,1,10.0,2021/99/01,3,7,7,,7
21,No,Non-Travel,895,,9.0,2,???,1,484,1,Male,39,3,1,Sales Representative,4,Single,2610.0,2851,1,Y,-1,24,4,3.0,80.0,0,3.0,3,2,3,2,2.0,2.0%
-1075.8038284629413,Yes,Travel_Rarely,350,Sales,5.0,3,Marketing,1,485,4,Female,34,3,1,Sales Representative,3,Single,2851.0,9150,1,Y,Yes,13,3,,80.0,0,1.0,2,3,1,0,0.0,0
37,No,Travel_Rarely,921,Research & Development,10.0,3,Medical,1,486,3,2,98,3,1,Laboratory Technician,1,Married,3452.0,17663,6,Y,No,20,4,2.0,80.0,1,17.0,3,3,5,4,0.0,-330.4753980609025
46,No,Non-Travel,1144,Research & Development,7.0,4,Medical,1,487,3,Female,30,3,2,Manufacturing Director,3,Married,5258.0,16044,2,Y,maybe,14,3,3.0,80.0,0,7.0,2,4,1,0,0.0,0
41,Yes,Travel_Frequently,143,Sales,4.0,3,Marketing,1,488,1,Male,56,3,2,Sales Executive,2,Single,9355.0,9558,1,Y,No,18,3,3.0,80.0,0,,5,3,8,7,7.0,7
50,No,Travel_Rarely,1046,Research & Development,,3,Technical Degree,1,491,4,Male,100,2,3,Healthcare Representative,4,Single,10496.0,"$2,755",6,Y,No,15,3,4.0,80.0,0,20.0,2,3,4,3,1.0,?
40,Yes,Travel_Rarely,575,Sales,22.0,2,Marketing,1,492,3,Male,68,2,"1.234,56",Sales Executive,3,Married,6380.0,6110,2,Y,2022-00-10,12,3,1.0,80.0,2,8.0,6,3,6,4,1.0,0
31,No,,408,Research & Development,9.0,4,Life Sciences,1,493,3,Male,42,2,1,Research Scientist,2,Single,2657.0,7551,0,Y,Yes,16,3,4.0,80.0,0,3.0,5,3,2,2,2.0,2
21,Yes,Travel_Rarely,156,Sales,12.0,3,Life Sciences,1,494,3,Female,90,4,1,Sales Representative,2,Single,2716.0,25422,1,Y,No,15,3,,80.0,0,1.0,2020-13-40,3,1,0,0.0,0
29,No,Travel_Rarely,1283,Research & Development,23.0,3,Life Sciences,1,495,4,Male,54,3,1,Research Scientist,4,Single,,18168,9,,No,16,3,,80.0,0,6.0,4,3,3,2,1.0,2
35,No,Travel_Rarely,755,,9.0,4,Life Sciences,1,496,3,na,97,2,2,Healthcare Representative,2,Single,6540.0,19394,9,Y,No,19,3,3.0,80.0,0,10.0,5,3,1,1,0.0,0
27,No,Travel_Rarely,1469,Research & Development,1.0,2,Medical,1,497,4,Male,82,3,1,Laboratory Technician,2,0,3816.0,17881,1,Y,No,11,3,2.0,80.0,1,5.0,2,3,5,2,0.0,4
28,No,Travel_Rarely,304,Sales,9.0,4,Life Sciences,1,498,2,Male,92,3,2,Sales Executive,4,Single,5253.0,20750,1,Y,,N/A,3,4.0,80.0,0,7.0,1,3,7,5,0.0,7
49,No,Travel_Rarely,1261,Research & Development,7.0,0.5646722048351509,Other,1,499,2,Male,31,2,3,Healthcare Representative,3,Single,10965.0,12066,8,Y,No,abc,missing,3.0,80.0,0,26.0,2,3,5,2,0.0,0
NULL,No,Travel_Rarely,1178,Sales,$14,2,Life Sciences,1,500,3,Female,87,3,2,Sales Executive,4,Married,4936.0,14862,4,Y,No,11,3,3.0,80.0,1,18.0,2,2,7,7,0.0,7
36,No,Travel_Rarely,329,Research & Development,,3,Life Sciences,1,501,4,Female,96,3,1,Research Scientist,3,Married,2543.0,11868,4,Y,No,13,3,2.0,80.0,1,6.0,3,3,2,2,2.0,1O0
34,Yes,Non-Travel,1362,Sales,19.0,3,Marketing,1,502,1,Male,67,4,2,Sales Executive,4,Single,5304.0,abc,8,Y,Yes,13,3,2.0,80.0,0,9.0,3,2,5,2,,4
55,No,Travel_Rarely,1311,Research & Development,2.0,3,Life Sciences,1,505,3,Female,97,3,4,Manager,4,Single,16659.0,23258,2,Y,Yes,13,3,3.0,80.0,0,30.0,2,3,5,4,1.0,2
24,Unknown,Sin dato,1371,Sales,10.0,4,Marketing,1,507,4,False,77,3,2,Sales Executive,3,Divorced,4260.0,5915,1,Y,Yes,12,3,4.0,80.0,1,5.0,2,4,5,2,0.0,3
30,No,Travel_Rarely,202,Sales,2.0,1,Technical Degree,1,508,3,Male,72,3,1,Sales Representative,2,Married,2476.0,abc,1,Y,No,18,3,1.0,80.0,1,1.0,3,3,1,0,0.0,0
26,Yes,Travel_Frequently,575,Research & Development,3.0,NULL,Technical Degree,1,510,3,Male,73,3,1,Research Scientist,1,Single,3102.0,6582,0,Y,No,22,4,3.0,80.0,0,7.0,2,3,6,4,,4
22,Unknown,Travel_Rarely,253,,11.0,3.0%,Medical,1,511,1,Female,43,3,1,Research Scientist,2,Married,2244.0,24440,1,Y,No,13,3,4.0,80.0,1,2.0,1,3,2,1,1.0,2
36,No,Travel_Rarely,164,Sales,2.0,2,Medical,-1,513,2,Male,61,2,3,Sales Executive,3,Married,7596.0,3809,1,Y,No,13,3,2.0,80.0,2,10.0,2,3,10,9,,0
30,Yes,na,464,Research & Development,4.0,NaN,Technical Degree,1,514,3,Male,40,3,1,Research Scientist,4,Single,2285.0,3427,9,Y,Yes,23,4,3.0,80.0,0,,4,3,1,0,0.0,0
37,No,Travel_Rarely,1107,Research & Development,14.0,3,Life Sciences,1,515,4,Female,95,3,1,Laboratory Technician,1,Divorced,3034.0,26914,1,Y,No,12,3,3.0,80.0,1,18.0,2,2,18,7,12.0,17
40,No,Travel_Rarely,759,na,2.0,2,Marketing,1,516,4,Female,46,3,2,Sales Executive,2,Divorced,5715.0,22553,7,Y,No,12,3,3.0,,2,8.0,5,3,5,4,1.0,abc
42,No,Travel_Rarely,201,,1.0,4,Life Sciences,1,517,2,Female,95,3,1,Laboratory Technician,1,Divorced,2576.0,20490,3,Y,No,16,3,2.0,80.0,1,8.0,5,3,5,2,1.0,2
37,No,Travel_Rarely,1305,Research & Development,10.0,4,Life Sciences,1,518,3,Male,49,3,2,Manufacturing Director,2,Single,4197.0,21123,2,Y,Yes,12,3,4.0,80.0,0,18.0,2,2,1,0,0.0,1
43,No,Travel_Rarely,982,Research & Development,12.0,3,Life Sciences,1,520,1,Male,59,2,4,None,2,Divorced,14336.0,4345,1,Y,,11,3,3.0,,1,25.0,3,3,25,10,3.0,9
40,No,Travel_Rarely,555,Research & Development,2.0,3,Medical,1,521,2,Female,78,2,2,na,3,Married,,13436,6,Y,No,22,4,2.0,80.0,1,20.0,3,3,1,0,0.0,0
54,,Travel_Rarely,821,Research & Development,5.0,2,Medical,1,522,1,Male,86,3,119.17947876784545,Research Director,1,Married,19406.0,8509,4,Y,No,11,3,3.0,80.0,1,,4,2,4,2,1.0,2
34,No,Non-Travel,1381,Sales,4.0,4,Marketing,1,523,3,Female,72,3,2,Sales Executive,3,Married,6538.0,12740,9,,,15,3,1.0,80.0,1,6.0,3,3,3,2,1.0,2
31,No,Travel_Rarely,480,Research & Development,7.0,2,Medical,1,524,2,Female,31,3,2,Manufacturing Director,1,Married,4306.0,4156,1,Y,No,12,3,2.0,80.0,1,13.0,5,1,13,10,3.0,12
43,No,Travel_Frequently,313,???,,3,Medical,TRUE,525,4,Male,61,3,1,na,4,Married,2258.0,15238,7,Y,No,20,4,1.0,80.0,1,8.0,1,3,3,2,1.0,2
43,No,Travel_Rarely,1473,Research & Development,8.0,4,Other,1,526,3,Female,74,3,2,Healthcare Representative,3,Divorced,4522.0,?,4,,Yes,14,3,4.0,80.0,0,8.0,3,3,5,2,0.0,2
25,No,Travel_Rarely,891,Sales,4.0,2,Life Sciences,1,527,2,Female,99,2,2,Sales Executive,4,Single,4487.0,12090,1,Y,Yes,11,3,2.0,80.0,0,5.0,3,3,5,4,1.0,3
37,No,Unknown,1063,Research & Development,25.0,5,Medical,1,529,2,Female,72,3,2,Research Scientist,3,Married,4449.0,23866,3,Y,Yes,15,15.549799091998057,1.0,80.0,2,15.0,2,3,13,11,10.0,7
31,No,Travel_Rarely,329,Research & Development,1.0,2,Life Sciences,1,530,4,Male,98,2,1,Laboratory Technician,1,Married,2218.0,16193.0%,1,Y,No,12,3,3.0,80.0,1,4.0,,3,4,2,,2
39,No,Travel_Frequently,1218,Research & Development,1.0,1,,1,531,2,Male,52,3,5,Manager,3,Divorced,19197.0,8213,1,Y,Yes,14,3,3.0,80.0,1,21.0,2020-13-40,3,21,8,1.0,6
56,No,Travel_Frequently,906,Sales,6.0,3,Life Sciences,1,532,3,Female,86,4,4,,1,Married,13212.0,18256,9,???,No,11,3,4.0,80.0,3,36.0,0,2,7,7,$7,7
30,No,Travel_Rarely,1082,Sales,12.0,3,,1,533,2,Female,83,3,2,Sales Executive,3,Single,6577.0,19558,0,Y,No,11,error,2.0,80.0,0,6.0,,3,5,4,4.0,4
41,No,Travel_Rarely,645,Sales,1.0,3,Marketing,1,534,2,na,49,4,3,Sales Executive,1,Married,8392.0,19566,1,Y,No,16,3,3.0,80.0,1,10.0,2,3,10,7,0.0,7
28,No,Travel_Rarely,1300,Research & Development,17.0,2,Medical,maybe,536,3,Male,79,3,$2,Laboratory Technician,1,Divorced,4558.0,13535,1,Y,No,$12,3,€2.500,80.0,1,10.0,2,3,10,0,1.0,8
-633.8223577713751,Yes,Travel_Rarely,688,Research & Development,3.0,3,Medical,1,538,1,Male,91,3,1,Laboratory Technician,1,Married,4031.0,9396,5,Y,20220335,13,3,3.0,80.0,1,6.0,5,3,2,2,0.0,2
52,,Travel_Rarely,319,Research & Development,3.0,3,Medical,1,543,4,Male,39,2,3,Manufacturing Director,3,Married,7969.0,19609,2,Y,Yes,14,3,3.0,80.0,0,28.0,4,3,5,4,0.0,4
45.0%,No,None,192,0,10.0,2,Life Sciences,1,544,1,Male,69,3,1,Research Scientist,4,Married,2654.0,9655,3,,No,21,4,4.0,80.0,2,8.0,3,2,2,2,0.0,2
52,No,Travel_Rarely,1490,Research & Development,4.0,2,Life Sciences,1,546,4,Female,30,3,4,Manager,4,Married,16555.0,10310,2,Y,No,13,—,,80.0,0,31.0,2,1,5,2,,4.0%
42,No,Travel_Frequently,532,None,,2,Life Sciences,TRUE,547,1,Female,92,3,2,Research Scientist,3,Divorced,4556.0,missing,2,Y,No,11,3,2.0,80.0,1,19.0,3,3,5,4,0.0,2
30,No,Travel_Rarely,317,,2.0%,3,Life Sciences,1,548,3,False,43,1,2,,4,Single,6091.0,24793,2,Y,No,20,4,3.0,80.0,0,11.0,2,3,5,4,0.0,2
60,No,Travel_Rarely,422,Research & Development,7.0,"3,14",Life Sciences,1,549,1,Female,41,3,5,,1,Married,19566.0,3854,5,Y,No,11,3,4.0,80.0,0,33.0,5,1,29,8,11.0,10
46,No,Travel_Rarely,1485,Research & Development,18.0,3,Medical,NO,550,3,Female,87,3,2,Manufacturing Director,3,Divorced,4810.0,26314,2,Y,No,14,3,3.0,80.0,1,19.0,5,2,10,7,"3,14",8
42,No,Travel_Frequently,1368,Research & Development,28.0,4,Technical Degree,1,551,4,Female,88,2,2,Healthcare Representative,4,Married,4523.0,4386,0,Y,20220335,11,3,4.0,80.0,3,7.0,not_a_date,4,6,5,0.0,4
24,Yes,Travel_Rarely,1448,Sales,1.0,1,Technical Degree,1,554,1,Female,62,3,1,Sin dato,2,Single,3202.0,21972,1,,Yes,16,—,2.0,80.0,0,6.0,4,3,5,3,1.0,4
34,Yes,Travel_Frequently,296,Sales,6.0,2,Marketing,1,555,4,Female,33,1,1,Sales Representative,3,Divorced,2351.0,12253,0,Y,,16,3,4.0,80.0,1,3.0,3,2,2,2,1.0,0
38,No,Travel_Frequently,1490,Research & Development,2.0,2,Life Sciences,1,556,4,Male,42,3,1,Laboratory Technician,4,Married,1702.0,12106,1,Y,yes,23,3,3.0,80.0,1,1.0,31/02/2022,3,1,0,0.0,0
40,No,Travel_Rarely,1398,Sales,abc,4,Life Sciences,1,558,3,Female,79,3,5,Manager,3,Married,18041.0,13022,0,Y,No,14,3,4.0,80.0,0,21.0,2,3,20,15,,12
26,,Travel_Rarely,1349,Research & Development,23.0,3,Life Sciences,1,560,1,Female,90,3,1,Research Scientist,4,,2886.0,3032,1,Y,No,22,4,2.0,,2,3.0,3,1,3,2,0.0,2
30,No,Non-Travel,1400,Research & Development,3.0,3,Life Sciences,1,562,3,Male,53,3,1.0%,Laboratory Technician,4,Married,2097.0,16734,4,Y,No,15,3,3.0,80.0,1,9.0,not_a_date,1,5,3,1.0,4
29,No,Travel_Rarely,986,Research & Development,3.0,4,Medical,1,564,2,Male,93,2,3,Research Director,3,Married,11935.0,21526,1,Y,No,18,3,3.0,80.0,0,10.0,2,3,10,2,,7
29,Yes,Travel_Rarely,408,Research & Development,25.0,5,Technical Degree,1,565,3,Female,71,2,1,Research Scientist,2,Married,2546.0,18300,5,Sin dato,31/02/2022,16,3,2.0,80.0,0,,2,4,2,2,1.0,1
19,,Travel_Rarely,489,Human Resources,2.0,2,Technical Degree,1,566,1,Male,52,2,1,Human Resources,4,Single,,18437,1,Y,No,12,3,"3,14",80.0,0,1.0,3,4,1,0,0.0,0
30,Ninguno,Non-Travel,1398,Sales,22.0%,4,Other,1,567,3,Female,69,3,3,Sales Executive,1,Married,8412.0,2890,0,Y,No,11,3,3.0,80.0,0,10.0,3,3,9,8,7.0,8
57,No,Travel_Rarely,210,Sales,29.0,3,Marketing,1,568,1,Male,56,2,4,Manager,4,Divorced,14118.0,22102,3,Y,No,12,3,3.0,80.0,1,32.0,3,2,1,0,0.0,0
50,No,???,1099,Research & Development,29.0,4,Life Sciences,1,569,2,Male,88,2,4,Manager,3,Married,17046.0,9314,0,Y,2022-00-10,15,3,"3,14",80.0,1,,2,3,27,10,15.0,7
30,No,Non-Travel,1116,Research & Development,2.0,3,Medical,1,571,3,Female,49,3,1,Laboratory Technician,4,Single,2564.0,7181,0,Y,20220335,14,3,3.0,80.0,0,12.0,2,2,11,7,6.0,7
60,No,Travel_Frequently,1499,Sales,28.0,3,Marketing,1,573,3,Female,80,2,3,Sales Executive,1,na,10266.0,2845,4,Y,No,19,3,4.0,80.0,0,22.0,5,4,18,13,13.0,11
47,No,Travel_Rarely,983,Research & Development,2.0,2,Medical,1,574,1,Female,65,3,2,Manufacturing Director,4,Divorced,5070.0,7389,5,Y,No,13,3,3,80.0,3,20.0,2,3,5,0,0.0%,4
46,No,Travel_Rarely,1009,Research & Development,2.0,3,Life Sciences,1,575,1,Male,51,3,4,Research Director,3,Married,17861.0,2288,6,Y,No,13,3,3.0,80.0,0,26.0,2,1,3,2,0.0,1
35,No,Travel_Rarely,144,Research & Development,22.0,3,Life Sciences,1,577,4,Male,46,1,1,Laboratory Technician,3,Single,,19225,0,Y,No,$15,3,3.0,80.0,0,6.0,2,3,5,4,4.0,3
54,No,Travel_Rarely,548,Research & Development,8.0,4,Life Sciences,1,578,3,Female,42,3,2,Laboratory Technician,3,Single,3780.0,23428,7,Y,No,11,3,3,80.0,0,19.0,3,3,1,0,0.0,0
34.0%,No,Travel_Rarely,1303,Research & Development,"3,14",4,,1,579,4,Male,62,2,1,Research Scientist,3,Divorced,2768.0,8416,3,Y,NO,1O0,3,3.0,80.0,1,14.0,3,3,7,3,5.0,7
46,No,Travel_Rarely,1125,Sales,,3,Marketing,1,580,3,Female,94,2,3,Sales Executive,4,Married,9071.0,11563,2,Y,Yes,19,3,3.0,80.0,1,15.0,3,3,3,2,1.0,2
31,No,Travel_Rarely,1274,Research & Development,9.0,1,Life Sciences,1,581,3,Male,33,3,3,Manufacturing Director,2,Divorced,10648.0,14394,1,Y,No,25,4,4.0,80.0,1,13.0,6,4,13,8,0.0,8
33,Yes,Travel_Rarely,1277,Research & Development,15.0,1,None,1,582,2,Male,56,3,3,Manager,3,Married,13610.0,24619,7,Y,Yes,—,3,4,80.0,0,15.0,2,4,7,6,7.0,7
33,Yes,Travel_Rarely,587,Research & Development,10.0,1,Medical,1,584,1,TRUE,38,1,1,Laboratory Technician,4,,3408.0,6705,7,Y,No,13,3,1.0,80.0,3,8.0,2022-00-10,3,4,3,1.0,3
30,No,Travel_Rarely,413,Sales,7.0,1,Marketing,1,585,4,Male,57,3,48.704724648428204,Sales Representative,2,Single,2983.0,18398,0,Y,No,14,?,?,80.0,0,4.0,3,3,3,2,1.0,2
35,No,Travel_Rarely,1276,Research & Development,16.0,3.0%,Life Sciences,1,586,4,,72,3,3,Healthcare Representative,3,Married,7632.0,14295,4,Y,TRUE,12,3,3.0,80.0,0,10.0,2,3,8,7,0.0,0
missing,Yes,Travel_Frequently,534,Research & Development,20.0,3,Life Sciences,1,587,1,Male,66,3,3,Healthcare Representative,3,Married,9824.0,22908,3,Y,No,12,3,1.0,80.0,0,12.0,2,3,1,0,0.0,0
1O0,Yes,Travel_Frequently,988,,-1358.1749178420719,3,Human Resources,1,590,2,0,43,3,3,Human Resources,1,Divorced,,11533,9,Y,Yes,15,3,3.0,80.0,3,11.0,2,3,3,2,0.0,2
42,No,Travel_Frequently,1474,Research & Development,5.0,2,Other,1,591,2,Male,97,3,1,Laboratory Technician,3,Married,2093.0,9260,4,Y,-1,17,3,4.0,80.0,1,8.0,4,3,2,2,2.0,0
36,No,Non-Travel,635,Sales,10.0,4,Medical,1,592,2,Male,32,3,3,Sales Executive,4,Single,9980.0,15318,1,Y,No,14,3,4.0,80.0,0,,3,2,10,3,9.0,7
22,Yes,Travel_Frequently,1368,Research & Development,4.0,1,Technical Degree,1,593,3,Male,99,2,1,Laboratory Technician,3,Single,3894.0,9129,5,Y,No,16,3,,80.0,0,4.0,3,3,2,2,1.0,2
48,No,Travel_Rarely,163,Sales,,5,Marketing,1,595,2,Female,37,3,2,Sales Executive,4,,4051.0,19658,2,Y,No,14,3,1.0,80.0,1,14.0,2,3,9,7,6.0,7
1O0,,Travel_Rarely,1117,Sales,18.0,5,Life Sciences,1,597,1,NO,83,3,4,Manager,2,Single,16835.0,9873,3,Y,No,23,4,,80.0,0,37.0,2,3,10,9,7.0,7
41,No,Sin dato,267,Sales,,2,Life Sciences,1,599,4,Male,56,3,2,Sales Executive,4,Single,6230.0,13430,7,Y,No,14,3,4.0,80.0,0,16.0,2020-13-40,3,14,3,1.0,10
35,No,N.A.,619,Sales,1.0,3,Marketing,1,600,2,Male,85,3,2,Sales Executive,3,Married,4717.0,18659,9,Y,No,11,3,3.0,80.0,0,15.0,2,3,11,9,6.0,9
40,No,Travel_Rarely,302,Research & Development,abc,3,Life Sciences,1,601,2,Female,75,3,4,Manufacturing Director,3,NULL,13237.0,20364,7,Y,No,15,3,,80.0,0,22.0,3,3,20,6,5.0,13
-692.2967733119784,No,,443,Research & Development,8.0,1,Life Sciences,1,602,3,Female,48,3,1,Laboratory Technician,3,Married,3755.0,17872,1,Y,No,11,3,1.0,80.0,1,8.0,3,3,8,3,,7
31,No,Travel_Rarely,828,Sales,2.0,1,Life Sciences,1,604,2,Male,77,3,2,Sales Executive,4,N.A.,6582.0,-1001994.3456043458,4,Y,Yes,13,3,3.0,80.0,0,10.0,2,4,6,5,0,5
42,,Travel_Rarely,319,Research & Development,24.0,3,Medical,1,605,4,Male,56,3,3,None,1,Married,7406.0,6950,1,Y,Yes,21,4,,80.0,1,10.0,5,2,10,9,5.0,8
45,No,Travel_Rarely,561,Sales,2.0,None,Sin dato,1,606,4,yes,61,3,2,Sales Executive,2,,4805.0,16177,0,Y,No,19,3,2.0%,80.0,1,9.0,3,4,8,7,3.0,—
26,Yes,Travel_Frequently,426,Human Resources,17.0,4,,1,608,2,Female,58,3,1,Human Resources,3,Divorced,2741.0,22808,0,Y,-1,11,3,2.0,80.0,1,8.0,2,2,7,7,missing,0
29,,Travel_Rarely,232,Research & Development,19.0,3,Technical Degree,1,611,4,None,34,3,2,Manufacturing Director,4,Divorced,4262.0,22645,4,Y,No,12,3,2.0,80.0,2,8.0,2,4,3,2,1.0,2
33,No,Travel_Rarely,922,Research & Development,1.0,5,Medical,1,612,1,yes,95,4,4,Research Director,3,Divorced,16184.0,1107797.5072476196,4,Y,No,19,3,10.994383955908516,80.0,1,10.0,31/02/2022,3,6,1,0.0,5
31,No,Travel_Rarely,688,Sales,7.0,3,Life Sciences,1,613,3,NO,44,2,3,Manager,4,Divorced,11557.0,25291,9,Y,No,21,4,,80.0,1,,3,2,5,4,0.0,1
18,Yes,Travel_Frequently,1306,Sales,5.0,14.012421122370949,Marketing,1,614,2,Male,69,3,1O0,Sales Representative,2,Single,1878.0,8059,1,None,Yes,14,3,4.0,80.0,0,0.0,3,3,0,0,0.0,0
40,No,Non-Travel,1094,Sales,28.0,3,Other,1,615,3,Male,58,1,3,Sales Executive,1,Divorced,10932.0,11373,3,,,15,3,3.0,80.0,1,20.0,2,3,1,0,0.0,1
41,No,Non-Travel,509,Research & Development,2.0,4,Other,1,616,1,Female,62,2,2,Healthcare Representative,3,Single,6811.0,2112,2,Y,Yes,17,3,1.0,,0,10.0,2022-00-10,3,8,7,0.0,7
26,No,Travel_Rarely,775,Sales,,2,Medical,1,618,1,Male,45,3,2,Sales Executive,3,Divorced,4306.0,4267,5,Y,No,12,3,1.0,80.0,2,8.0,2020-13-40,3,0,0,0.0,0
35,No,Travel_Rarely,195,Sales,1.0,3,Medical,1,620,1,Female,80,3,2,Sales Executive,3,Single,4859.0,6698,1,Y,No,16,3,4.0,80.0,0,5.0,3,3,5,4,0.0,3
34,No,Travel_Rarely,258,Sales,,4,Life Sciences,1,621,4,Male,74,4,2,Sales Executive,4,Single,5337.0,19921,1,Y,No,12,3,4.0,80.0,0,10.0,3,3,10,7,5.0,7
26,Yes,Travel_Rarely,471,Research & Development,24.0,NaN,N.A.,1,622,3,,66,1,1,Laboratory Technician,4,Single,2340.0,23213,1,Unknown,Yes,18,3,2.0,80.0,0,1.0,3,1,1,0,0.0,0
37,No,Travel_Rarely,799,Research & Development,1.0,3,Technical Degree,1,623,2,Female,59,3,3.0%,Manufacturing Director,4,Single,7491.0,-440591.42353228136,4,Y,No,17,3,4.0,80.0,0,,3,4,6,5,1.0,2
46,No,Travel_Frequently,1034,Research & Development,18.0,1,Medical,1,624,1,Female,86,3,3,Healthcare Representative,3,Married,,8984,5,Y,No,11,3,4.0,80.0,0,28.0,3,2,2,2,1.0,2
41,No,Travel_Rarely,1276,Sales,2.0,5,Life Sciences,1,625,2,Female,91,3,4,Manager,1,Married,16595.0,5626,7,Y,No,16,3,2.0,80.0,1,22.0,2,3,18,16,error,8
37,No,Non-Travel,142,Sales,9.0,4,Medical,1,626,1,Male,69,3,3,Sales Executive,2,Divorced,,24666,1,Y,No,13,3,4.0,80.0,1,9.0,6,3,9,5,7.0,7
52,No,Travel_Rarely,956,Research & Development,6.0,2,,1,630,4,Male,78,3,2,Research Scientist,1,Divorced,5577.0,22087,3,Y,2022-00-10,12,3,2.0,80.0,2,18.0,3,3,10,9,6.0,9
$32,Yes,Non-Travel,1474,Sales,11.0,4,Ninguno,1,631,4,Male,60,4,2,Sales Executive,3,Married,4707.0,23914,8,Y,No,12,3,4.0,80.0,0,6.0,31/02/2022,3,4,2,1.0,2
24,No,Travel_Frequently,535,Sales,24.0,3,,1,632,4,Male,38,3,1,Sales Representative,4,Married,2400.0,5530,0,Y,No,13,3,3.0,80.0,2,3.0,3,3,2,2,2.0,1
38,No,Travel_Rarely,1495,,,3,Medical,1,634,3,Female,76,3,2,Healthcare Representative,3,Married,9824.0,22174,3,Y,No,19,3,,80.0,1,18.0,4,3,1,0,0.0,0
37,No,Travel_Rarely,446,Research & Development,1,4,Life Sciences,1,635,2,TRUE,65,3,2,Manufacturing Director,2,Married,6447.0,15701,6,Y,No,12,3,2.0,80.0,1,8.0,2,2,6,5,4.0,3
49,No,Travel_Rarely,1245,Research & Development,18.0,None,Life Sciences,1,638,4,Male,58,2,5,Research Director,3,Divorced,19502.0,2125,1,Y,Yes,17,3,3.0,80.0,1,31.0,5,3,31,9,0.0,9
24,No,0,691,,23.0,3,Medical,1,639,2,Male,89,4,1,Research Scientist,4,Married,2725.0,21630,1,Y,,11,3,2.0,,2,6.0,3,3,6,5,1.0,4
26.0%,No,Travel_Rarely,703,Sales,28.0,2,Marketing,1,641,1,Male,66,3,2,Sales Executive,2,Married,6272.0,7428,1,Y,No,20,4,4.0,80.0,2,6.0,5,4,5,3,1.0%,4
24,No,Travel_Rarely,823,Research & Development,17.0,2,Other,1,643,4,Male,94,2,1,Laboratory Technician,2,Married,2127.0,9100,1,Y,No,21,4,4.0,,1,1.0,2,3,1,0,0.0,0
50,No,Travel_Frequently,1246,Human Resources,3.0,3,Medical,1,644,1,Male,99,3,5,Manager,2,Married,18200.0,7999,1,Y,No,11,3,3.0,80.0,1,32.0,2,3,32,5,10.0,7
25,No,Travel_Rarely,622,Sales,13.0,1,Medical,1,645,2,Male,40,3,1,Sales Representative,3,Married,2096.0,26376,1,Y,No,11,3,3.0,80.0,0,7.0,1,3,7,4,0.0,6
24,Yes,Travel_Frequently,1287,,7.0,3,Life Sciences,1,647,1,Female,55,3,1,Laboratory Technician,3,Married,2886.0,14168,1,Y,Yes,16,36.5527987124443,98.26024743757308,80.0,1,6.0,,3,6,3,1.0,2
30,,Travel_Frequently,448,Sales,12.0,4,Life Sciences,1,648,2,Male,74,2,1,Sales Representative,1,Married,2033.0,14470,1,Y,No,18,3,3.0,80.0,1,1.0,2,4,1,0,NULL,0
34,No,Travel_Rarely,254,Research & Development,1.0,2,Life Sciences,1,649,2,Male,83,2,1,Research Scientist,4,Married,3622.0,22794,1,Y,Yes,13,3,4.0,80.0,1,6.0,3,3,6,5,1.0,$3
